,HexColor,ColorOrder,Kingdom,Phylum,Class,Order,Family,Genus,PFG
2548,#D0D0D0,189,Bacteria,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae (Subgroup 3),Bryobacter,Acidobacteria Solibacteraceae (Subgroup 3) Bryobacter
2553,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,Actinobacteria Nocardioidaceae Nocardioides
2556,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,Actinobacteria Nocardioidaceae Aeromicrobium
2565,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,Bacteroidetes Rikenellaceae Rikenella
2603,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XI,Gallicola,Firmicutes Family XI Gallicola
2659,#F83333,210,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Proteobacteria Rhizobiaceae Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
2672,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium,Actinobacteria Actinomycetaceae Arcanobacterium
2689,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Sarcina,Firmicutes Clostridiaceae 1 Sarcina
2698,#D0D0D0,189,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,CHKCI002,Actinobacteria Eggerthellaceae CHKCI002
2709,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Curtobacterium,Actinobacteria Microbacteriaceae Curtobacterium
2715,#F83333,210,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,Proteobacteria Beijerinckiaceae Microvirga
2719,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae FE2018 group,Firmicutes Lachnospiraceae Lachnospiraceae FE2018 group
2758,#6683EB,168,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Virgibacillus,Firmicutes Bacillaceae Virgibacillus
2794,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,Proteobacteria Enterobacteriaceae Klebsiella
2856,#CFB7A7,4,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus 2,Firmicutes Ruminococcaceae Ruminococcus 2
2876,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Alloscardovia,Actinobacteria Bifidobacteriaceae Alloscardovia
2889,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Trueperella,Actinobacteria Actinomycetaceae Trueperella
2907,#F79D28,84,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalicoccus,Firmicutes Erysipelotrichaceae Faecalicoccus
2934,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Angelakisella,Firmicutes Ruminococcaceae Angelakisella
3033,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XI,Tissierella sp. AIP 285.00,Firmicutes Family XI Tissierella sp. AIP 285.00
3055,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Bacteroidetes Flavobacteriaceae Capnocytophaga
3088,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,UC5-1-2E3,Firmicutes Lachnospiraceae UC5-1-2E3
3094,#6683EB,168,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Anthococcus,Firmicutes Streptococcaceae Anthococcus
3223,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 12,Firmicutes Clostridiaceae 1 Clostridium sensu stricto 12
3230,#F79D28,84,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Allobaculum,Firmicutes Erysipelotrichaceae Allobaculum
3274,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium 10,Firmicutes Lachnospiraceae Lachnoclostridium 10
3288,#CFB7A7,6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Firmicutes Lachnospiraceae Blautia
3409,#F79D28,84,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Kandleria,Firmicutes Erysipelotrichaceae Kandleria
3415,#6683EB,168,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Firmicutes Carnobacteriaceae Granulicatella
3444,#AF0000,198,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila,Proteobacteria Desulfovibrionaceae Bilophila
3498,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Pseudoclavibacter,Actinobacteria Microbacteriaceae Pseudoclavibacter
3507,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Harryflintia,Firmicutes Ruminococcaceae Harryflintia
3557,#D0D0D0,189,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriales Incertae Sedis,Raoultibacter,Actinobacteria Coriobacteriales Incertae Sedis Raoultibacter
3594,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Proteobacteria Enterobacteriaceae Enterobacter
3607,#0F2F9D,156,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Firmicutes Aerococcaceae Abiotrophia
3763,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Genus gut metagenome,Bacteroidetes Muribaculaceae Genus gut metagenome
3805,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Bacteroidetes Weeksellaceae Chryseobacterium
3960,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 18,Firmicutes Clostridiaceae 1 Clostridium sensu stricto 18
3977,#D0D0D0,189,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Cryptobacterium,Actinobacteria Eggerthellaceae Cryptobacterium
3978,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XIII,Family XIII UCG-001,Firmicutes Family XIII Family XIII UCG-001
4005,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Geodermatophilaceae,Blastococcus,Actinobacteria Geodermatophilaceae Blastococcus
4013,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Geodermatophilaceae,Modestobacter,Actinobacteria Geodermatophilaceae Modestobacter
4025,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Lawsonella,Actinobacteria Corynebacteriaceae Lawsonella
4028,#D0D0D0,189,Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),Blastocatellales,Blastocatellaceae,Blastocatella,Acidobacteria Blastocatellaceae Blastocatella
4029,#F83333,210,Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,Geminicoccus,Proteobacteria Geminicoccaceae Geminicoccus
4030,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Spirosoma,Bacteroidetes Spirosomaceae Spirosoma
4053,#F79D28,84,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Firmicutes Erysipelotrichaceae Bulleidia
4145,#D0D0D0,189,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Epsilonbacteraeota Helicobacteraceae Helicobacter
4163,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Paeniclostridium,Firmicutes Peptostreptococcaceae Paeniclostridium
4252,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Genus mouse gut metagenome,Bacteroidetes Muribaculaceae Genus mouse gut metagenome
4349,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales vadinBB60 group,metagenome,Firmicutes Clostridiales vadinBB60 group metagenome
4380,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Leucobacter,Actinobacteria Microbacteriaceae Leucobacter
4445,#D0D0D0,189,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Enorma,Actinobacteria Coriobacteriaceae Enorma
4448,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Plantibacter,Actinobacteria Microbacteriaceae Plantibacter
4574,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,Proteobacteria Enterobacteriaceae Salmonella
4593,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,[Acetivibrio] ethanolgignens group,Firmicutes Lachnospiraceae [Acetivibrio] ethanolgignens group
4620,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,Bacteroidetes Muribaculaceae Muribaculum
4651,#D0D0D0,189,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Mucispirillum,Deferribacteres Deferribacteraceae Mucispirillum
4687,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Proteobacteria Aeromonadaceae Aeromonas
4738,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Mobiluncus,Actinobacteria Actinomycetaceae Mobiluncus
4768,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Papillibacter,Firmicutes Ruminococcaceae Papillibacter
4779,#CFB7A7,18,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,UBA1819,Firmicutes Ruminococcaceae UBA1819
4797,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales Incertae Sedis,Phocaeicola,Bacteroidetes Bacteroidales Incertae Sedis Phocaeicola
4810,#D0D0D0,189,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Selenomonas,Firmicutes Veillonellaceae Selenomonas
4821,#CFB7A7,10,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Firmicutes Lachnospiraceae Anaerostipes
4829,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Tannerella,Bacteroidetes Tannerellaceae Tannerella
4868,#D0D0D0,189,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Sphaerochaeta,Spirochaetes Spirochaetaceae Sphaerochaeta
4875,#F83333,210,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,Proteobacteria Desulfobulbaceae Desulfobulbus
4965,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria Burkholderiaceae Burkholderia-Caballeronia-Paraburkholderia
5075,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Actinobacteria Propionibacteriaceae Acidipropionibacterium
5080,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Dermabacter,Actinobacteria Dermabacteraceae Dermabacter
5084,#AF0000,194,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,Proteobacteria Enterobacteriaceae Klebsiella
5098,#16DDD3,58,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Bacteroidetes Tannerellaceae Parabacteroides
5101,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae UCG-011,Firmicutes Ruminococcaceae Ruminococcaceae UCG-011
5144,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Delftia,Proteobacteria Burkholderiaceae Delftia
5162,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenella,Firmicutes Christensenellaceae Christensenella
5194,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Incertae Sedis,Firmicutes Lachnospiraceae Incertae Sedis
5224,#F83333,210,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,Proteobacteria Beijerinckiaceae Bosea
5244,#6683EB,168,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Firmicutes Alicyclobacillaceae Alicyclobacillus
5303,#CFB7A7,20,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Firmicutes Lachnospiraceae Lachnoclostridium
5364,#6683EB,168,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,Firmicutes Carnobacteriaceae Carnobacterium
5389,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Proteobacteria Vibrionaceae Photobacterium
5416,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Filifactor,Firmicutes Peptostreptococcaceae Filifactor
5417,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Proteobacteria Pasteurellaceae Actinobacillus
5438,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Phocea,Firmicutes Ruminococcaceae Phocea
5452,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Pygmaiobacter,Firmicutes Ruminococcaceae Pygmaiobacter
5473,#D0D0D0,189,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,Deinococcus-Thermus Thermaceae Thermus
5479,#D0D0D0,189,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,DNF00809,Actinobacteria Eggerthellaceae DNF00809
5485,#6683EB,168,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Dolosigranulum,Firmicutes Carnobacteriaceae Dolosigranulum
5498,#F83333,210,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ochrobactrum,Proteobacteria Rhizobiaceae Ochrobactrum
5525,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Sanguibacteraceae,Sanguibacter,Actinobacteria Sanguibacteraceae Sanguibacter
5539,#6683EB,168,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,Firmicutes Bacillaceae Geobacillus
5578,#AF0000,204,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Proteobacteria Xanthomonadaceae Stenotrophomonas
